                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5171,                 3.8333,                 1.7404,                0.27475,                0.19565,                0.15533,                 0.0582,                 2.2246,                  8.436,                 2.5815,             0.00066392,             0.00066392,             0.00066392
                      2,                 1.7058,                  2.555,                 1.8324,                0.67744,                0.36522,                 0.4186,                0.18789,                 2.1314,                 3.2475,                 2.1861,              0.0013174,              0.0013174,              0.0013174
                      3,                 1.7328,                   2.21,                 1.8499,                0.54809,                0.44783,                  0.494,                0.25262,                 1.9246,                  3.573,                 1.9738,              0.0019577,              0.0019577,              0.0019577
                      4,                 1.6846,                 2.1073,                  1.802,                0.49447,                0.35217,                0.38294,                0.17175,                 2.0537,                  3.189,                 2.0331,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.628,                 1.9457,                 1.7669,                0.55714,                 0.3087,                0.31762,                0.14775,                 2.3707,                 5.2549,                  2.406,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5951,                 1.8143,                 1.7127,                0.69115,                0.54487,                0.57491,                0.30129,                 2.0523,                 3.1027,                  2.004,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.563,                  1.787,                 1.6827,                0.55542,                0.43913,                0.43283,                0.22946,                 2.2193,                 4.2833,                 2.1086,               0.001901,               0.001901,               0.001901
                      8,                 1.5321,                 1.7492,                 1.6575,                0.83713,                0.66522,                0.73392,                0.43765,                 1.7424,                 2.2266,                 1.7506,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.463,                 1.6572,                   1.61,                0.85604,                0.66522,                0.74074,                0.42432,                 1.6607,                 2.0881,                 1.6883,              0.0018614,              0.0018614,              0.0018614
                     10,                   1.44,                 1.5531,                 1.6017,                0.85659,                0.67391,                0.74782,                0.42587,                   1.74,                 2.2901,                 1.6904,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4419,                 1.5525,                 1.6047,                 0.8941,                0.53043,                0.68529,                0.36775,                 1.7968,                 1.8869,                 1.7045,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4227,                 1.5032,                 1.6018,                0.85889,                0.58219,                0.69073,                0.38634,                 1.8814,                 2.7748,                 1.9254,               0.001802,               0.001802,               0.001802
                     13,                 1.3925,                 1.4814,                 1.5537,                0.86402,                0.63539,                0.72185,                0.44601,                 1.7075,                 2.6147,                 1.6805,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3611,                 1.3947,                 1.5273,                0.86867,                0.74348,                0.81802,                0.46176,                 1.6995,                 1.3941,                 1.6716,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3515,                 1.3877,                 1.5215,                0.79183,                0.63043,                0.68661,                0.38507,                 1.7551,                 1.7985,                 1.8081,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3541,                 1.3859,                 1.5252,                0.87413,                0.63409,                0.71324,                0.46499,                 1.6377,                 2.0486,                 1.6019,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3863,                  1.433,                 1.5507,                0.80396,                0.72609,                0.78388,                0.47323,                 1.6242,                 1.7575,                 1.6472,               0.001703,               0.001703,               0.001703
                     18,                  1.338,                 1.3636,                 1.5001,                0.70508,                0.55091,                0.61647,                0.28611,                 2.1061,                 2.7116,                 2.1227,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.3365,                 1.3727,                 1.5183,                 0.8755,                0.61304,                0.72726,                0.45525,                 1.5826,                  1.742,                 1.5957,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.3708,                 1.3704,                  1.536,                0.34877,                0.25217,                0.17726,                0.07179,                 2.4382,                 4.6163,                  2.549,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.3078,                 1.3238,                 1.4867,                0.70288,                 0.5913,                0.62285,                0.40521,                 1.7642,                 2.5586,                  1.707,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.2967,                 1.3091,                 1.4806,                0.78158,                0.73043,                0.77065,                0.50256,                 1.4368,                 2.1396,                 1.4679,               0.001604,               0.001604,               0.001604
                     23,                 1.2873,                 1.3001,                 1.4799,                0.87192,                0.65119,                0.70929,                0.45373,                 1.6642,                 2.6311,                 1.6676,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.2847,                 1.3014,                 1.4647,                0.87949,                0.75217,                0.81049,                0.49699,                 1.6098,                 1.5922,                 1.5762,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.2768,                 1.2572,                 1.4779,                0.54323,                 0.3087,                0.31667,                0.14413,                 2.0921,                 7.7378,                 2.1538,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.2512,                  1.173,                 1.4491,                0.85301,                0.58032,                0.68048,                0.42402,                 1.6446,                 2.0996,                 1.6768,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.2574,                 1.2365,                 1.4632,                0.29554,                0.17826,                0.12213,                0.03182,                 2.9028,                 6.4116,                 3.2957,               0.001505,               0.001505,               0.001505
                     28,                 1.2442,                 1.1865,                 1.4445,                0.94694,                0.62071,                0.73096,                0.43553,                 1.7383,                 2.0263,                 1.7066,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.2368,                 1.1767,                  1.437,                0.82795,                0.69045,                0.77672,                0.51395,                 1.3503,                 1.8618,                 1.4465,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.2488,                 1.2011,                 1.4473,                0.79839,                0.59565,                0.64466,                0.37013,                 1.8702,                 2.6165,                 1.8867,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.2173,                 1.1784,                 1.4275,                0.83246,                0.64811,                0.76045,                0.49486,                  1.416,                  2.039,                 1.4781,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.2159,                 1.1896,                 1.4229,                0.56865,                0.38261,                0.38513,                0.17459,                 2.3456,                 3.7064,                 2.5349,               0.001406,               0.001406,               0.001406
                     33,                 1.2009,                 1.1303,                 1.4184,                0.92407,                0.68786,                0.78724,                0.51987,                 1.3871,                 1.4773,                 1.4183,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.2262,                 1.1062,                 1.4326,                0.91509,                0.74971,                0.82884,                0.54661,                 1.3554,                 1.3137,                 1.3671,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.2111,                 1.0917,                 1.4099,                0.84835,                0.63237,                0.75674,                0.50628,                 1.3677,                 2.1758,                 1.3822,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1757,                 1.1565,                 1.3901,                 0.8916,                0.63043,                0.73408,                0.47778,                 1.5486,                 1.6497,                 1.5576,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1807,                 1.0769,                 1.3982,                0.90477,                0.74783,                0.82514,                0.57038,                  1.351,                 1.7949,                 1.3571,               0.001307,               0.001307,               0.001307
                     38,                 1.1867,                 1.0684,                 1.3976,                0.86304,                0.63016,                0.72357,                0.47535,                 1.4921,                 2.1739,                 1.5309,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.197,                 1.1252,                 1.4131,                0.92191,                0.71857,                  0.805,                0.52982,                 1.3952,                 1.5092,                 1.4022,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1629,                 1.0678,                 1.3791,                0.95757,                0.78498,                0.86846,                0.59657,                 1.2637,                 1.0461,                 1.2939,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1571,                   1.09,                 1.3876,                0.93244,                0.73913,                0.83169,                0.56298,                 1.3352,                 1.4064,                  1.373,              0.0012278,              0.0012278,              0.0012278
                     42,                   1.17,                 1.1092,                 1.3953,                0.94961,                0.77826,                0.87427,                 0.5658,                 1.3127,                 1.0745,                 1.3611,               0.001208,               0.001208,               0.001208
                     43,                 1.1459,                 1.0897,                 1.3734,                0.90485,                0.62022,                0.70117,                0.43448,                 1.6148,                  2.159,                 1.5902,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.144,                 1.0511,                 1.3727,                0.93159,                0.71053,                0.82636,                 0.5477,                  1.357,                 1.3364,                 1.3688,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.1479,                 1.0605,                  1.379,                0.91044,                0.66295,                0.75978,                0.48666,                 1.4747,                 1.8358,                 1.5068,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1419,                   1.03,                 1.3671,                0.95378,                0.80744,                0.88861,                0.60323,                 1.2084,                 0.9233,                 1.2333,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1117,                0.98892,                 1.3514,                0.87696,                0.65652,                0.73619,                0.46352,                 1.4544,                 2.2089,                 1.5395,               0.001109,               0.001109,               0.001109
                     48,                 1.1174,                 1.0389,                 1.3707,                0.93218,                0.71714,                0.80264,                0.52413,                 1.4125,                 1.5432,                 1.4648,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0904,                0.98768,                 1.3372,                0.90792,                0.73043,                0.80655,                0.53613,                 1.4054,                 1.3473,                 1.4428,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0953,                0.99092,                  1.339,                0.89568,                0.67194,                0.76114,                0.50066,                 1.3565,                 1.9853,                 1.4439,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0961,                0.99427,                 1.3392,                0.71378,                0.52045,                0.58932,                0.36101,                 1.6743,                 2.5693,                 1.7613,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1047,                 1.0113,                 1.3497,                0.95519,                0.75652,                0.85305,                0.56377,                 1.3249,                 1.2383,                 1.3221,                0.00101,                0.00101,                0.00101
                     53,                 1.1083,                0.98487,                 1.3426,                0.97338,                 0.7948,                0.88015,                0.59094,                 1.2789,                0.99607,                 1.3434,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0426,                0.91353,                 1.3155,                0.92753,                0.77826,                0.86257,                0.58153,                 1.2664,                   1.23,                 1.3397,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0635,                 0.9411,                 1.3251,                0.85123,                0.56957,                0.64623,                0.39882,                 1.6231,                 2.9168,                 1.7668,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.059,                0.95289,                 1.3217,                0.80518,                 0.7087,                0.76381,                0.49972,                  1.418,                 2.2382,                 1.4415,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0556,                0.95378,                 1.3193,                0.86911,                0.57391,                 0.6979,                0.44493,                 1.5702,                 2.5191,                 1.6232,               0.000911,               0.000911,               0.000911
                     58,                 1.0765,                0.97599,                 1.3315,                0.88799,                0.72385,                0.82657,                0.55369,                 1.3088,                 1.1839,                 1.3397,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0761,                0.95761,                 1.3259,                 0.9193,                0.76087,                 0.8477,                0.55324,                 1.4217,                  1.174,                 1.4282,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0412,                0.92711,                 1.3166,                0.95244,                0.78261,                0.87936,                0.58794,                 1.2871,                0.94596,                 1.3367,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0489,                0.96107,                 1.3086,                0.93909,                0.77391,                0.86983,                0.59977,                 1.1994,                 1.0279,                 1.2533,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0434,                0.93576,                  1.309,                 0.8894,                0.83043,                0.89562,                0.59843,                 1.2289,                0.97981,                 1.2664,               0.000812,               0.000812,               0.000812
                     63,                 1.0482,                0.94825,                 1.3119,                0.88266,                0.81763,                0.87523,                0.59515,                 1.2734,                 1.1051,                 1.3037,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0084,                0.91549,                 1.2967,                0.94715,                0.72609,                0.84738,                0.58157,                 1.2774,                 1.0506,                 1.3092,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0326,                0.92384,                 1.3027,                0.92752,                0.83455,                0.89587,                0.63329,                 1.1666,                0.89409,                 1.2055,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0292,                0.90861,                 1.3014,                0.98392,                0.79835,                0.89014,                0.61357,                 1.2212,                0.94188,                 1.2315,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0138,                0.90685,                 1.3008,                0.95354,                0.80309,                0.88411,                0.59832,                 1.2583,                0.99331,                 1.3062,               0.000713,               0.000713,               0.000713
                     68,                0.99883,                0.90059,                 1.2795,                0.94421,                0.73578,                0.83042,                0.55133,                 1.2626,                  1.165,                 1.3259,              0.0006932,              0.0006932,              0.0006932
                     69,                0.98279,                0.89508,                  1.273,                0.92229,                0.77391,                0.85553,                0.57788,                 1.2294,                 1.0844,                  1.264,              0.0006734,              0.0006734,              0.0006734
                     70,                0.97736,                0.88485,                 1.2643,                 0.9533,                0.80435,                 0.8868,                0.61296,                 1.2034,                0.93941,                 1.2315,              0.0006536,              0.0006536,              0.0006536
                     71,                0.97994,                0.89949,                 1.2758,                0.94036,                0.82266,                0.89523,                0.62616,                 1.2066,                0.95518,                  1.227,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0033,                 0.9191,                 1.2737,                0.95155,                0.81304,                0.88972,                0.62733,                 1.2144,                 1.0389,                 1.2171,               0.000614,               0.000614,               0.000614
                     73,                0.97749,                 0.8739,                 1.2623,                0.95935,                0.82084,                 0.9025,                0.62869,                  1.214,                0.95158,                 1.2541,              0.0005942,              0.0005942,              0.0005942
                     74,                0.94619,                0.86596,                 1.2575,                0.95499,                 0.8303,                0.90241,                 0.6283,                 1.1462,                0.99269,                 1.2105,              0.0005744,              0.0005744,              0.0005744
                     75,                0.94884,                0.87434,                 1.2441,                0.95816,                 0.7965,                0.88792,                0.61365,                 1.1678,                0.97309,                 1.2234,              0.0005546,              0.0005546,              0.0005546
                     76,                0.95983,                0.84462,                 1.2653,                0.88052,                0.76957,                0.84135,                0.57216,                 1.2484,                 1.5002,                 1.3251,              0.0005348,              0.0005348,              0.0005348
                     77,                0.96624,                0.86291,                 1.2634,                 0.9414,                0.83824,                0.90706,                0.62742,                 1.1754,                 1.0452,                 1.1987,               0.000515,               0.000515,               0.000515
                     78,                0.94541,                0.84468,                 1.2485,                0.94918,                0.81213,                0.89579,                0.62756,                 1.1697,                 1.0101,                 1.2286,              0.0004952,              0.0004952,              0.0004952
                     79,                0.93899,                0.83532,                 1.2492,                0.92562,                0.80435,                0.88277,                0.60828,                 1.2324,                  1.046,                 1.2759,              0.0004754,              0.0004754,              0.0004754
                     80,                0.93117,                0.81136,                 1.2409,                0.94805,                0.83478,                0.90744,                0.63498,                 1.1461,                 1.0273,                 1.2096,              0.0004556,              0.0004556,              0.0004556
                     81,                0.93382,                0.84971,                 1.2332,                0.91936,                 0.7931,                0.86024,                0.58416,                 1.2099,                 1.1214,                 1.2718,              0.0004358,              0.0004358,              0.0004358
                     82,                0.93289,                 0.8515,                  1.243,                0.93664,                0.83554,                 0.9013,                0.61863,                 1.2092,                0.97628,                 1.2554,               0.000416,               0.000416,               0.000416
                     83,                0.90667,                0.80427,                 1.2334,                0.96318,                0.79604,                0.89034,                 0.6223,                 1.2004,                0.90995,                 1.2549,              0.0003962,              0.0003962,              0.0003962
                     84,                0.90072,                0.82044,                 1.2251,                0.95512,                0.83281,                0.90446,                0.63111,                 1.1994,                0.91592,                 1.2458,              0.0003764,              0.0003764,              0.0003764
                     85,                0.92816,                0.81433,                 1.2351,                0.96373,                0.80863,                 0.8954,                0.62251,                 1.1637,                0.93773,                 1.2163,              0.0003566,              0.0003566,              0.0003566
                     86,                0.94223,                0.85132,                 1.2383,                0.95374,                0.80668,                0.87615,                 0.5896,                 1.1907,                0.99559,                 1.2526,              0.0003368,              0.0003368,              0.0003368
                     87,                0.90532,                0.79538,                 1.2278,                0.93295,                0.84699,                 0.9117,                0.63509,                  1.162,                0.88504,                 1.1962,               0.000317,               0.000317,               0.000317
                     88,                0.92004,                0.83352,                 1.2392,                0.97369,                0.80435,                0.89926,                0.63198,                 1.1673,                 0.9076,                 1.2059,              0.0002972,              0.0002972,              0.0002972
                     89,                0.89651,                0.78058,                 1.2206,                0.95969,                0.82802,                0.90631,                0.63678,                 1.1514,                0.94926,                 1.1981,              0.0002774,              0.0002774,              0.0002774
                     90,                0.90001,                 0.8089,                 1.2277,                 0.9694,                0.82631,                0.90751,                0.63815,                  1.162,                0.95909,                 1.1969,              0.0002576,              0.0002576,              0.0002576
                     91,                0.98002,                  0.808,                 1.3293,                0.93421,                0.83478,                0.89718,                0.61567,                 1.1993,                0.88412,                 1.2446,              0.0002378,              0.0002378,              0.0002378
                     92,                0.93968,                0.74857,                 1.3093,                0.97769,                 0.8087,                 0.8993,                0.62436,                 1.2337,                0.86843,                 1.2591,               0.000218,               0.000218,               0.000218
                     93,                0.94278,                0.75854,                 1.3115,                0.98936,                0.80851,                0.90139,                0.62544,                 1.2113,                0.82341,                 1.2623,              0.0001982,              0.0001982,              0.0001982
                     94,                0.91197,                0.69238,                 1.2862,                0.97912,                0.81566,                0.90411,                0.63482,                 1.1952,                0.88938,                 1.2474,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.9288,                 0.6959,                 1.2973,                0.93827,                0.84348,                0.89995,                0.63723,                 1.1657,                0.82618,                 1.2257,              0.0001586,              0.0001586,              0.0001586
                     96,                0.87781,                0.71673,                 1.2513,                0.96036,                0.84277,                0.90787,                0.63273,                 1.2055,                0.89546,                 1.2541,              0.0001388,              0.0001388,              0.0001388
                     97,                0.90094,                0.75794,                 1.2716,                0.98363,                0.81304,                0.91174,                0.63448,                 1.2021,                0.84236,                 1.2502,               0.000119,               0.000119,               0.000119
                     98,                0.87402,                0.70817,                 1.2257,                0.92848,                0.84348,                0.90905,                0.63516,                  1.182,                0.84022,                 1.2426,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.87979,                0.71996,                 1.2443,                0.98411,                0.80776,                0.90115,                0.63005,                 1.1819,                0.83068,                 1.2397,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.88239,                0.70666,                  1.264,                0.98418,                0.81151,                0.90418,                0.62904,                 1.1733,                0.84481,                 1.2432,               5.96e-05,               5.96e-05,               5.96e-05
